Adams,20,,39.8706 -103.8766,Adams
Alamosa,0,,37.5523 -105.8429,Alamosa
Arapahoe,3,,39.652 -104.4353,Arapahoe
Archuleta,0,,37.2084 -107.2676,Archuleta
Baca,0,,37.3198 -102.5601,Baca
Bent,0,,37.9549 -103.0734,Bent
Boulder,0,,40.0925 -105.3587,Boulder
Broomfield,0,,39.9547 -105.0534,Broomfield
Chaffee,0,,38.7468 -106.1936,Chaffee
Cheyenne,6,,38.8297 -102.5211,Cheyenne
Clear Creek,0,,39.7084 -105.6625,Clear Creek
Conejos,0,,37.1987 -106.1984,Conejos
Costilla,0,,37.2786 -105.4271,Costilla
Crowley,0,,38.3182 -103.7798,Crowley
Custer,0,,38.0778 -105.4231,Custer
Delta,0,,38.8594 -107.8659,Delta
Denver,0,,39.7643 -104.96,Denver
Dolores,0,,37.7523 -108.5192,Dolores
Douglas,0,,39.3294 -104.9279,Douglas
Eagle,0,,39.6374 -106.6449,Eagle
El Paso,0,,38.8247 -104.5621,El Paso
Elbert,1,,39.2866 -104.1361,Elbert
Fremont,0,,38.4776 -105.4766,Fremont
Garfield,61,,39.7288 -107.2377,Garfield
Gilpin,0,,39.8585 -105.5229,Gilpin
Grand,0,,40.1025 -106.1183,Grand
Gunnison,1,,38.7022 -107.0797,Gunnison
Hinsdale,0,,37.8212 -107.301,Hinsdale
Huerfano,0,,37.654 -104.9264,Huerfano
Jackson,9,,40.6658 -106.3416,Jackson
Jefferson,0,,39.586 -105.2505,Jefferson
Kiowa,2,,38.4401 -102.7758,Kiowa
Kit Carson,0,,39.3058 -102.6049,Kit Carson
La Plata,11,,37.2866 -107.8427,La Plata
Lake,0,,39.2015 -106.345,Lake
Larimer,1,,40.6667 -105.4609,Larimer
Las Animas,8,,37.3158 -104.0371,Las Animas
Lincoln,0,,38.9886 -103.5155,Lincoln
Logan,2,,40.7193 -103.1163,Logan
Mesa,7,,38.9333 -108.6266,Mesa
Mineral,0,,37.6163 -106.9211,Mineral
Moffat,4,,40.6118 -107.877,Moffat
Montezuma,2,,37.3192 -108.7255,Montezuma
Montrose,0,,38.4023 -108.2703,Montrose
Morgan,0,,40.2626 -103.8074,Morgan
Otero,0,,37.9028 -103.7162,Otero
Ouray,0,,38.1549 -107.769,Ouray
Park,0,,39.1189 -105.7177,Park
Phillips,1,,40.594 -102.51,Phillips
Pitkin,0,,39.1719 -106.8807,Pitkin
Prowers,0,,37.9562 -102.3948,Prowers
Pueblo,0,,38.1736 -104.5126,Pueblo
Rio Blanco,19,,39.9378 -108.7634,Rio Blanco
Rio Grande,0,,37.583 -106.383,Rio Grande
Routt,0,,40.4854 -106.991,Routt
Saguache,0,,38.0808 -106.282,Saguache
San Juan,0,,37.7645 -107.6755,San Juan
San Miguel,1,,37.9633 -108.0935,San Miguel
Sedgwick,0,,40.876 -102.3518,Sedgwick
Summit,0,,39.6406 -106.108,Summit
Teller,0,,38.8816 -105.1624,Teller
Washington,2,,39.9708 -103.2009,Washington
Weld,170,,40.5011 -104.5558,Weld
Yuma,7,,39.9447 -102.4267,Yuma
